20160,AWAARA HOON ,AAWAARA ,MUKESH 
20161,AWAARA PAGAL DEEWANA ,AWAARA PAGAL DEEWANA ,SUNIDHI,SHAAN 
20162,AWAZ DO HUMKO ,DUSHMAN ,LATA, UDIT NARAYAN 
20163,AYE BEKHABAR ,ZEHER ,K.K,SHREYA,ATIF,UDIT 
20164,AYE DIL E NADAN ,RAZIA SULTAN ,LATA MANGESHKAR 
20165,AYE DIL MUJHE AISI ,AARZ00 (OLD) ,TALAT MEHMOOD 
20166,AYE GULBADAN AYE GULBADAN ,PROFESSOR ,MOHD. RAFI 
20167,AYE MERE PYAARE VATAN ,KAABULI WALA ,MANNA DEY 
20168,AYHELE DIL YUN BHI ,DARD ,LATA MANGEHSKAR 
20169,BAABU SAMJHO ISHAARE ,CHALTI KA NAAM GAADI ,KISHORE KUMAR, MANNA DEY 
20170,BAABUL JO TUMNE SIKHAAYA ,HUM AAPKE HAIN KAUN ,SHARDA SINHA 
20171,BAABUL KI DUAAYEN LETI JA ,NEEL KAMAL ,MOHD. RAFI 
20172,BAADAL YUN GARJTA HAI ,BETAAB ,LATA, SHABBIR KUMAR 
20173,BAAGON KI TU RAANI ,JAANI DOST ,KISHORE KUMAR,ASHA 
20174,BAAGON MEIN KAISE ,CHUPKE CHUPKE ,LATA,MUKESH 
20175,BAAHON MEIN CHALE AAO ,ANAMIKA ,LATA MANGESHKAR 
20176,BAAHON MEIN TERI MASTI ,KAALA PATTHAR ,MOHD. RAFI,LATA 
20177,BAAP KI JAGAH MAA LE SAKTI HAI ,DARD KA RISHTA ,KISHORE KUMAR 
20178,BAAR BAAR DEKHO HAZAAR BAAR DEKHO ,CHINA TOWN ,MOHD. RAFI 
20179,BAAR BAAR DIN YE AAYE ,FARZ ,MOHD. RAFI 
20180,BABALU BABALU BA BA ,JHUMROO ,KISHORE KUMAR,ASHA 
20181,BABUJI DHEERE CHALNA ,AAR PAAR ,GEETA DUTT 
20182,BACHCHE MANN KE SACHCHE ,DO KALIYAN ,LATA MANGESHKAR 
20183,BADA NATKHAT HAI RE ,AMAR PREM ,LATA MANGESHKAR 
20184,BADA SHAITAN HAI DIL ,IMAANDAAR ,KISHORE KUMAR 
20185,BADAN PE SITAARE ,PRINCE ,MOHD. RAFI 
20186,BADE ARMAANON SE ,MALHAR ,LATA,MUKESH 
20187,BADI SUNI SUNI HAI ,MILI ,KISHORE KUMAR 
20188,BAGHON MEIN BAHAAR HAI ,ARADHANA ,LATA MANGESHKAR,MOHD.RAF 
20189,BAHUT DER KAR DI ,TAWAIF ,ASHA BHOSLE 
20190,BAHUT KAT CHUKA HAI ,MOHABBAT KE DUSHMAN ,ASHA BHOSLE 
20191,BAHUT SHUKRIYA BADI MEHARBAANI ,EK MUSAFIR EK HASINA ,MOHD.RAFI,ASHA 
20192,BAIYAN NA DHARO ,DASTAK(1970) ,LATA MANGESHKAR 
20193,BALMA BADA NADAAN RE ,ALBELA ,LATA MANGESHKAR 
20194,BAMBAI NAGARIYA ,TAXI NO. 9211 ,BAPPI LAHARI 
20195,BAMBAI SE AAYA MERA DOST ,AAP KI KHATIR ,BAPPI LAHIRI 
20196,BAN THAN ,KURUKSHETRA ,SUKHWINDER,SUNIDH 
20197,BANAKE KYUN BIGAADA RE ,ZANJEER ,LATA MANGESHKAR 
20198,BANDA PARWAR ,PHIR WAHI DIL LAAYA HOON ,MOHD. RAFI 
20199,BANDA YEH BINDAS HAI ,AKS ,K.K, KUNAL 
20200,BANGLA GAADI JHUMKE ,CHHUPA RUSTAM(2000) ,ALKA YAGNIK 
20201,BANNO KI LAAYEGI ,AAINA ,PAMELA CHOPRA 
20202,BANNO TERI ANKHIYA SURMEDANI ,DUSHMANI ,SAPNA AVASTI 
20203,BARSAAT MEIN HUMSE MILE ,BARSAAT ,LATA MANGESHKAR 
20204,BECHAIN MERA YE DIL HAI ,YEH MOHABBAT HAI ,UDIT NARAYAN,ALKA 
20205,BECHARA DIL KYA KARE ,KHUSHBOO ,ASHA BHOSLE 
20206,BEDARDI BAALAMA TUJHKO ,ARZ00(1965) ,LATA MANGESHKAR 
20207,BEDARDI TERE PYAR NE ,HEENA ,LATA MANGESHKAR 
20208,BEETE HUE LAMHO KI ,NIKAAH ,MAHENDRA KAPOOR 
20209,BEETI NA BITAAYI RAINA ,PARICHAY ,LATA MANGESHKAR. BHUPINDER 
20210,BEKHUDI ,TAXI NO. 9 2 11 ,SHAAN 
20211,BEKHUDI MEIN SANAM ,HASEENA MAAN JAAYEGI ,LATA JI, MOHD. RAFI 
20212,BEQARAAR KARKE HUMEN ,BEES SAAL BAAD(1961) ,HEMANT KUMAR 
20213,BETAAB DIL KI TAMANNA ,HANSTE ZAKHM ,LATA MANGESHKAR 
20214,BHAGI RE BHAGI ,RAJPUT ,MAHENDRA.MANHAR,ASHA 
20215,BHAI BATTOOR ,PADOSAN ,LATA MANGESHKAR 
20216,BHAIYA MERE ,CHHOTI BAHEN ,LATA MANGESHKAR 
20217,BHALI BHALI SI ,BUDDHA MIL GAYA ,ASHA BHOSLE, KISHORE KUMAR 
20218,BHANVARE NE KHILAYA PHOOL ,PREMROG ,LATA, SURESH WADKAR 
20219,BHANWARA BADA NAADAN ,SAHIB BIBI AUR GHULAM ,ASHA BHOSLE 
20220,BHANWARE KI GUNJAN ,KAL AAJ AUR KAL ,KISHORE KUMAR 
20221,BHARAT KA REHNA WALA HOOI ,PURAB AUR PACHHIM ,MAHENDRA KAPOOR 
20222,BHEED MEIN TANHAAI MEIN ,TUMSA NAHIN DEKHA ,UDIT, SHREYA GHOSHAL 
20223,BHEEGE HONTH TERE ,MURDER ,KUNAL GANJAWALA 
20224,BHEEGI BHEEGI RAATON MEIN ,AJNABI ,LATA, KISHORE KUMAR 
20225,BHEEGI BHEEGI SI HAI ,GANGSTER ,JAMES 
20226,BHOLE RE SAJAN ,BADHTI KA NAAM DAADHI ,KISHORE KUMAR 
20227,BHOLI SURAT DIL KE KHOTE ,ALBELA ,LATA.CHITALKAR 
20228,BHOR BHAYE PANGHAT PE ,SATYAM SHIVAM SUNDARAM ,LATA MANGESHKAR 
20229,BIN SAAJAN JHOOLA JHOOLUN ,DAMINI ,SANU,SADHANA SARGAM 
20230,BOL BABY BOL ,MERI JUNG ,KISHORE,S.JANAKI 
20231,BOL MERI TAQDEER ,HARIYALI AUR RAASTA ,LATA. JI, MOHD. RAFI 
20232,BOL RADHA BOL SANGAM ,SANGAM ,MUKESH 
20233,BOL RI KATHAPUTLI ,KATHPUTLI ,LATA MANGESHKAR 
20234,BOLO BOLO ,REHNA HAI TERE DIL MEIN ,SHAAN 
20235,BOOJH MERA KYA NAAM RE ,C.I.D. ,SHAMSHAD BEGUM 
20236,BOONDON SE BAATEN ,TAQSHAK ,SUJATA TRIVEDI 
20237,BORO BORO BURE BURE ,BLUFF MASTER ,ARASH 
20238,BUJHA DO DEEPAK ,DARPAN ,KISHORE KUMAR 
20239,BURA MAT SUNO ,AAYA SAAWAN JHOOM KE ,MOHD. RAFI 
20240,BURA NA MANO ,AADMI SADAK KA ,MOHD. RAFI,ANURADHA 
20241,BUS MERI JAAN BUS ,AANCHAL ,LATA, KISHORE KUMAR 
20242,BUS YEHI APRAADH MAIN HAR BAAR ,PEHCHAN ,MUKESH 
20243,CAT CAT ,DILLI KA DHAG ,ASHA BHOSLE, KISHORE KUMAR 
20244,CHAAND JAISE MUKHDE PE ,SAAWAN KO AANE DO ,K. YESUDAS 
20245,CHAAND MERA DIL ,HUM KISISE KAM NAHI ,MOHD. RAFI 
20246,CHAAND SI MEHB00BA ,HIMAALAY KI GOD MEIN ,MUKESH 
20247,CHAAND SITARE PHOOL ,KAHO NA PYAAR HAI ,KUMAR SANU 
20248,CHAANDANI 0 MERI CHAANDANI ,CHHANDANI ,JOLLY MUKHARJEE, SRIDEVI 
20249,CHADHTI JAWAANI MERI ,CARAVAN ,LATA, MOHD. RAFI 
20250,CHAHE RAHO DOOR ,DO CHOR ,LATA, KISHORE KUMAR 
20251,CHAHIYE THODA PYAAR ,LAHOO KE DO RANG ,KISHORE KUMAR 
20252,CHAHUNGA MAIN TUJHE ,DOSTI ,MOHD. RAFI 
20253,CHAKKE MEIN CHAKKA ,BRAHMACHARI ,MOHD. RAFI 
20254,CHAL AKELA CHAL AKELA ,SAMBANDH ,MUKESH 
20255,CHAL CHAL MERE SAATHI ,HAATHI MERE SAATHI ,KISHORE KUMAR 
20256,CHAL CHALEN AE DIL ,JHEEL KE US PAAR ,LATA MANGESHKAR 
20257,CHAL CHAMELI BAAG MEIN ,KRODHI ,LATA,SURESH WADKAR 
20258,CHAL DARIYA MEIN ,PREM KAHANI ,LATA,KISHORE KUMAR 
20259,CHALAT MUSAFIR ,TEESRI KASAM ,MANNA DEY 
20260,CHALE JAANA NAHI ,BADI BAHEN ,LATA MANGESHKAR 
20261,CHALE JANA ZARA TEHRO ,AROUND THE WORLD ,MUKESH, SHARDA 
20262,CHALE THE SAATH MILKAR ,HASINA MAAN JAYEGI ,MOHD. RAFI 
20263,CHALI CHALI RE PATANG ,BHABHI ,LATA, MOHD. RAFI 
20264,CHALI MERI DULHAN KI DOLI ,DARPAN ,MOHD. RAFI 
20265,CHALO DILDAR CHALO ,PAKEEZHA ,LATA, MOHD. RAFI 
20266,CHALO EK BAAR PHIR SE ,GUMRAAH ,MAHENDRA KAPOOR 
20267,CHALO RE DOLI UTHAAO ,JAANI DUSHMAN ,MOHD. RAFI 
20268,CHALO TUMKO LEKAR CHALE ,JISM ,SHREYA GHOSHAL 
20269,CHALTE CHALTE YUN HI KOI ,PAKEEZHA ,LATA MANGESHKAR 
20270,CHALTI KA NAAM ZINDAGI ,CHALTI KA NAAM ZINDAGI ,KISHORE,MAHENDRA 
20271,CHANA ZOR GARAM ,KRANTI ,LATA,KISHORE,RAFI 
20272,CHAND AAHEN BHAREGA ,PHOOL BANE ANGAARE ,MUKESH 
20273,CHANDA HAI TU ,ARADHANA ,LATA MANGESHKAR 
20274,CHANDA KO DHUNDNE ,JEENE KI RAAH ,ASHA,USHA,HEMLATA 
20275,CHANDA 0 CHANDA ,LAAKHON MEIN EK ,LATA MANGESHKAR 
20276,CHANDA RE CHANDA RE ,SAPNEY ,HARIHARAN, SADHANA 
20277,CHANDAN SA BADAN ,SARASWATI CHANDRA ,MUKESH 
20278,CHANDI KI DEEWAR NA TODI ,VISHWAAS ,MUKESH 
20279,CHANDNI RAAT MEIN ,DIL-E-NADAAN ,LATA,KISHORE KUMAR 
20280,CHANDRALEKHA ,CHOR CHOR ,ANUPAMA, A.R. REHMAN 
20281,CHAUDAHVEEN KA CHAAND ,CHAUDHAVEEN KA CHAAND ,MOHD. RAFI 
20282,CHEHRE PE GIRE ZULFEN ,SURAJ ,MOHD. RAFI 
